id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,label,bytes_per_packet
4532,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,53261,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773589946235,1773589950341,4106,33,6463,1773589946235,1773589950341,4106,18,3928,1773589946235,1773589950341,4106,15,2535,60,195.8484848484848,281.5247681390708,1695,60,218.22222222222223,373.17691050753353,1695,60,168.99999999999997,103.1427582112703,366,0,128.31250000000003,717.6405982285328,4061,0,241.52941176470588,984.2637551519828,4061,0,293.2857142857143,1087.6049500956344,4072,2,1,2,0,32,24,1,0,1,1,1,0,17,12,1,0,1,0,1,0,15,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,195.25679758308155
11009,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,57967,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773597844337,1773597851428,7091,32,6416,1773597844337,1773597851428,7091,17,3881,1773597844338,1773597851428,7090,15,2535,60,200.5,287.1550104037887,1708,60,228.29411764705884,385.61991726081175,1708,60,168.99999999999997,103.1427582112703,366,0,228.7419354838709,1265.9773291214428,7050,0,443.1875,1761.8234197841734,7050,0,506.4285714285714,1887.6906409801247,7065,2,1,2,0,31,24,1,0,1,1,1,0,16,12,1,0,1,0,1,0,15,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,199.8753894080997
22111,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,50251,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773612018772,1773612028951,10179,65,13676,1773612018772,1773612028951,10179,35,9207,1773612018772,1773612028951,10179,30,4469,60,210.4,334.17172793340853,1687,60,263.0571428571428,444.6853443303309,1687,60,148.9666666666666,85.7677229431362,366,0,159.046875,815.8535783214539,5046,0,299.3823529411765,1107.898174259543,5046,0,351.0,1201.5543504739423,5056,2,1,2,0,64,48,1,0,1,1,1,0,34,24,1,0,1,0,1,0,30,24,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,210.0768049155146
2999,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,51575,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773587039020,1773587047114,8094,32,6389,1773587039020,1773587047114,8094,18,3914,1773587039020,1773587047113,8093,14,2475,60,199.65625,282.5859400396002,1681,60,217.44444444444449,369.9183093002502,1681,60,176.78571428571428,102.3599820929348,366,0,261.0967741935484,1445.0073899427805,8047,0,476.11764705882354,1950.977507634088,8047,0,622.5384615384615,2236.1871796797564,8065,2,1,2,0,31,24,1,0,1,1,1,0,17,12,1,0,1,0,1,0,14,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,199.03426791277258
1165,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,50161,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773584747527,1773584747538,11,12,2581,1773584747527,1773584747538,11,7,1388,1773584747527,1773584747538,11,5,1193,60,215.08333333333337,169.86115096178,623,60,198.28571428571428,201.17050337604525,623,66,238.6,132.1203996360895,366,0,1.0,1.61245154965971,5,0,1.8333333333333333,2.316606713852541,6,1,2.75,2.0615528128088303,5,2,1,2,0,11,8,1,0,1,1,1,0,6,4,1,0,1,0,1,0,5,4,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,213.30578512396696
7039,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,56671,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773592837557,1773592837558,1,2,231,1773592837557,1773592837557,0,1,86,1773592837558,1773592837558,0,1,145,86,115.5,41.71930009000631,145,86,86.0,0.0,86,145,145.0,0.0,145,1,1.0,0.0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,_ldap._tcp.fyp.lab.fyp.lab,,,,,0,110.0
4440,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,52978,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773589446010,1773589448097,2087,33,6455,1773589446010,1773589448097,2087,18,3920,1773589446010,1773589448096,2086,15,2535,60,195.6060606060606,280.19378778288643,1687,60,217.77777777777777,371.314763502303,1687,60,168.99999999999997,103.1427582112703,366,0,65.21874999999999,356.40071090539504,2018,0,122.76470588235294,488.4673133142797,2018,0,149.0,547.4650673787323,2051,2,1,2,0,32,24,1,0,1,1,1,0,17,12,1,0,1,0,1,0,15,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,195.01510574018127
6756,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,54284,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773591679111,1773591683208,4097,31,6329,1773591679111,1773591683208,4097,17,3854,1773591679111,1773591683207,4096,14,2475,60,204.16129032258064,286.0865949060638,1681,60,226.7058823529412,379.1458763961904,1681,60,176.78571428571428,102.3599820929348,366,0,136.5666666666667,737.0701404574893,4039,0,256.0625,1008.8053970745134,4039,0,315.0769230769231,1125.8206977977193,4062,2,1,2,0,30,24,1,0,1,1,1,0,16,12,1,0,1,0,1,0,14,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,203.50482315112538
21205,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,49189,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773610264529,1773610292783,28254,90,19809,1773610264529,1773610292783,28254,47,13125,1773610264530,1773610292783,28253,43,6684,60,220.1,328.0271313114275,1687,60,279.2553191489361,440.94372450190656,1687,60,155.4418604651163,82.87664451448349,366,0,317.46067415730334,1227.5970157567976,7029,0,614.2173913043479,1661.5334672530469,7029,0,672.6904761904761,1735.7226018689714,7051,2,2,2,0,89,73,1,0,1,1,1,0,46,36,1,0,1,1,1,0,43,37,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,219.85571587125418
21253,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,55239,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773608662951,1773608674143,11192,6,546,1773608662951,1773608666972,4021,4,364,1773608670683,1773608674143,3460,2,182,91,91.0,0.0,91,91,91.0,0.0,91,91,91.0,0.0,91,990,2238.4,1300.339301874707,3711,990,1340.3333333333333,584.4230773449431,2015,3460,3460.0,0.0,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.MICROSOFT,Network,0,6,settings-win.data.microsoft.com,,,,,0,89.50819672131148
19686,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,64774,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773608972529,1773608982629,10100,33,6463,1773608972529,1773608982629,10100,18,3928,1773608972529,1773608982628,10099,15,2535,60,195.8484848484848,281.5247681390708,1695,60,218.22222222222223,373.17691050753353,1695,60,168.99999999999997,103.1427582112703,366,0,315.62500000000006,1772.6837090293532,10030,0,594.1176470588235,2431.587184390911,10030,0,721.3571428571428,2689.0040651953955,10064,2,1,2,0,32,24,1,0,1,1,1,0,17,12,1,0,1,0,1,0,15,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,195.25679758308155
19305,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,64515,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773608577466,1773608582585,5119,32,6395,1773608577466,1773608582585,5119,18,3920,1773608577467,1773608582584,5117,14,2475,60,199.84375000000003,283.6007085589901,1687,60,217.77777777777777,371.314763502303,1687,60,176.78571428571428,102.3599820929348,366,0,165.1290322580645,909.2045879755,5064,0,301.11764705882354,1227.382014816136,5064,0,393.6153846153846,1408.998020962742,5083,2,1,2,0,31,24,1,0,1,1,1,0,17,12,1,0,1,0,1,0,14,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,199.22118380062304
22358,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,65300,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773609848260,1773609856345,8085,32,6385,1773609848260,1773609856345,8085,17,3850,1773609848260,1773609856344,8084,15,2535,60,199.53125000000009,281.9096153911745,1677,60,226.4705882352941,378.18697717647865,1677,60,168.99999999999997,103.1427582112703,366,0,260.80645161290323,1442.0976023222756,8031,0,505.31250000000006,2006.8638126439969,8031,0,577.4285714285714,2153.634842067483,8060,2,1,2,0,31,24,1,0,1,1,1,0,16,12,1,0,1,0,1,0,15,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,198.90965732087227
9056,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,53920,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773595050229,1773595050229,0,2,160,1773595050229,1773595050229,0,1,72,1773595050229,1773595050229,0,1,88,72,80.0,11.31370849898476,88,72,72.0,0.0,72,88,88.0,0.0,88,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,svr1.fyp.lab,,,,,0,76.19047619047619
8419,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,55572,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,25,6,4,0,0,1773593899828,1773593899909,81,9,627,1773593899828,1773593899909,81,5,349,1773593899828,1773593899908,80,4,278,60,69.66666666666667,12.864680330268603,92,60,69.8,12.497999839974396,90,60,69.5,15.264337522473747,92,0,10.124999999999998,27.83336897631023,79,0,20.25,39.83612263595275,80,0,26.666666666666664,45.32475409015843,79,2,1,2,0,8,3,2,1,1,1,1,0,4,2,1,1,1,0,1,0,4,1,1,0,SMTP,Email,0,6,svr1.fyp.lab,,,,,0,68.9010989010989
5796,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,62599,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773591595950,1773591595950,0,2,204,1773591595950,1773591595950,0,1,78,1773591595950,1773591595950,0,1,126,78,102.0,33.94112549695428,126,78,78.0,0.0,78,126,126.0,0.0,126,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,_ldap._tcp.fyp.lab,,,,,0,97.14285714285714
2291,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,51466,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773586879033,1773586882141,3108,28,5690,1773586879033,1773586882141,3108,16,3651,1773586879033,1773586882140,3107,12,2039,60,203.2142857142857,307.973827308228,1717,60,228.1875,401.7339449187734,1717,60,169.91666666666666,103.02555581755018,366,0,115.11111111111111,588.3565332826774,3059,0,207.2,788.9444304168161,3059,0,282.45454545454544,925.5453920404298,3073,2,1,2,0,27,20,1,0,1,1,1,0,15,10,1,0,1,0,1,0,12,10,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0,202.49110320284697
