id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,label
17426,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,61891,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773604317131,1773604334432,17301,84,18235,1773604317131,1773604334432,17301,45,12235,1773604317131,1773604334431,17300,39,6000,60,217.0833333333334,337.01886573818655,1687,60,271.8888888888888,448.9614390316543,1687,60,153.84615384615387,83.86064206437601,366,0,208.44578313253007,1160.2919129444092,9055,0,393.20454545454544,1578.918316510204,9055,0,455.2631578947368,1698.9599630077432,9073,2,1,2,0,83,66,1,0,1,1,1,0,44,33,1,0,1,0,1,0,39,33,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
17415,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,62991,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773606093670,1773606096760,3090,31,6335,1773606093670,1773606096760,3090,17,3860,1773606093670,1773606096759,3089,14,2475,60,204.3548387096774,287.1192027000977,1687,60,227.0588235294117,380.58433207835736,1687,60,176.78571428571428,102.3599820929348,366,0,103.0,553.0393762872025,3031,0,193.125,756.8039706555456,3031,0,237.61538461538464,846.5409557390532,3055,2,1,2,0,30,24,1,0,1,1,1,0,16,12,1,0,1,0,1,0,14,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
3669,0,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,49912,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,49671,6,4,0,0,1773588956148,1773588970972,14824,12,1980,1773588956148,1773588970972,14824,7,1438,1773588956148,1773588970972,14824,5,542,60,165.0,234.01864727565467,878,60,205.42857142857144,305.16381237124494,878,60,108.4,63.64589539004067,182,0,1347.6363636363635,4465.293994189571,14811,0,2470.666666666667,6045.505823888244,14811,0,3706.0,7411.333348325388,14823,2,1,2,0,11,4,0,2,1,1,1,0,6,2,0,1,1,0,1,0,5,2,0,1,DCERPC,RPC,0,6,,,,,,0
12868,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,49841,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773600548864,1773600553833,4969,2,172,1773600548864,1773600548864,0,1,86,1773600553833,1773600553833,0,1,86,86,86.0,0.0,86,86,86.0,0.0,86,86,86.0,0.0,86,4969,4969.0,0.0,4969,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,10.56.168.192.in-addr.arpa,,,,,0
12762,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,59023,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773599572990,1773599579079,6089,32,6403,1773599572990,1773599579079,6089,17,3868,1773599572991,1773599579079,6088,15,2535,60,200.09375,284.95425319038543,1695,60,227.52941176470583,382.5024701957915,1695,60,168.99999999999997,103.1427582112703,366,0,196.4193548387097,1082.8664975946494,6031,0,380.5625,1506.8012462940603,6031,0,434.8571428571428,1617.024611255683,6053,2,1,2,0,31,24,1,0,1,1,1,0,16,12,1,0,1,0,1,0,15,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
7647,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,55704,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773594134892,1773594138963,4071,31,6329,1773594134892,1773594138963,4071,17,3854,1773594134893,1773594138962,4069,14,2475,60,204.16129032258064,286.0865949060638,1681,60,226.7058823529412,379.1458763961904,1681,60,176.78571428571428,102.3599820929348,366,0,135.7,735.9014247143102,4032,0,254.43750000000003,1007.3594504942116,4032,0,313.00000000000006,1121.3336553705444,4045,2,1,2,0,30,24,1,0,1,1,1,0,16,12,1,0,1,0,1,0,14,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
15029,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,60930,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773602710039,1773602715133,5094,32,6425,1773602710039,1773602715133,5094,18,3950,1773602710039,1773602715132,5093,14,2475,60,200.78125,288.6795001912071,1717,60,219.44444444444443,378.29901373232485,1717,60,176.78571428571428,102.3599820929348,366,0,164.32258064516128,905.083583141976,5041,0,299.6470588235294,1221.831255798876,5041,0,391.7692307692308,1402.042447874181,5058,2,1,2,0,31,24,1,0,1,1,1,0,17,12,1,0,1,0,1,0,14,12,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
15354,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,60852,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773602572344,1773602572382,38,13,2639,1773602572344,1773602572382,38,8,1446,1773602572344,1773602572381,37,5,1193,60,203.00000000000003,167.8059395055292,621,60,180.75,191.90231890209145,621,66,238.6,132.1203996360895,366,0,3.166666666666667,6.548189664234526,22,0,5.428571428571428,8.059303999253345,22,1,9.25,15.195942440884233,32,2,1,2,0,12,8,1,0,1,1,1,0,7,4,1,0,1,0,1,0,5,4,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
2488,0,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,49850,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,135,6,4,0,0,1773587038034,1773587048046,10012,16,2212,1773587038034,1773587048046,10012,9,1186,1773587038034,1773587048046,10012,7,1026,60,138.25,80.6734156956305,226,60,131.7777777777778,83.75228023429837,222,60,146.57142857142858,82.30604907469265,226,0,667.4666666666667,2577.3448371383697,9984,0,1251.5000000000002,3528.467008287229,9984,0,1668.6666666666667,4081.504020170343,10000,2,1,2,0,15,8,0,2,1,1,1,0,8,4,0,1,1,0,1,0,7,4,0,1,DCERPC,RPC,0,6,,,,,,0
22955,0,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,50719,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,49671,6,4,0,0,1773612184283,1773612197714,13431,14,2220,1773612184283,1773612197714,13431,8,1504,1773612184283,1773612197714,13431,6,716,60,158.57142857142858,216.9217208281204,878,60,188.00000000000003,286.79509858334154,878,60,119.33333333333331,62.91157816067458,182,0,1033.1538461538462,3717.282987302999,13405,0,1918.7142857142856,5064.984360432771,13405,0,2686.2,5992.5591528160985,13406,2,1,2,0,13,5,0,2,1,1,1,0,7,2,0,1,1,0,1,0,6,3,0,1,DCERPC,RPC,0,6,,,,,,0
